Perfume Name,Brand,Gender,Top Notes,Middle Notes,Base Notes,Main Accords,Season,Time of Day
Cruzeiro E.C. Jequitifor men,Jequiti,for men,"Bergamot, Lemon and Lavender","Sandalwood, Water Lily and Guaiac Wood","Musk, Cedar, Amber and Tonka Bean","['citrus', 'woody', 'aromatic', 'powdery', 'lavender', 'fresh spicy', 'musky', 'floral', 'amber', 'fresh']",All Season,Any
Fluminense F.C. Jequitifor men,Jequiti,for men,"Apple, Sage and Cardamom","Lavender, Geranium and Nutmeg","Sandalwood, Patchouli, Vetiver and Amber","['aromatic', 'fresh spicy', 'woody', 'lavender', 'warm spicy', 'herbal', 'fruity', 'powdery']",Fall,Any
Grêmio Jequitifor men,Jequiti,for men,"Bergamot, Basil and Grapefruit","Cardamom, Lavender, Orange Blossom and Ginger","Leather, Amber, Cedar and Musk","['warm spicy', 'aromatic', 'citrus', 'leather', 'animalic', 'fresh spicy', 'lavender', 'amber', 'white floral', 'powdery']",Spring,Night
Palmeiras Jequitifor men,Jequiti,for men,"Bergamot, Lavender and Sage","Geranium, Aromatic Notes and Dihydromyrcenol","Coumarin, Amber and Cashmeran","['fresh spicy', 'vanilla', 'warm spicy', 'aromatic', 'balsamic', 'rose', 'sweet', 'woody', 'almond']",Winter,Night
S.C. Internacional Jequitifor men,Jequiti,for men,"Lemon, Lavender, Grapefruit and Rosemary","Geranium, Patchouli, Violet Leaves and Sandalwood","Amber, Nutmeg, Oakmoss and Musk","['fresh spicy', 'aromatic', 'woody', 'citrus', 'powdery', 'warm spicy', 'earthy', 'patchouli', 'amber', 'lavender']",Fall,Any
Santos F.C. Jequitifor men,Jequiti,for men,"Green Leaves, Grapefruit, Yuzu and Black Pepper","Cardamom, Geranium, Lavender and Ozonic notes","Patchouli, Vetiver, Leather and Tonka Bean","['aromatic', 'warm spicy', 'fresh spicy', 'woody', 'patchouli', 'earthy', 'green', 'citrus', 'lavender']",Fall,Day
São Paulo F.C. Jequitifor men,Jequiti,for men,"Bergamot, Mint and Sea Notes",Violet and Lavender,"Musk, Vetiver and Oakmoss","['powdery', 'musky', 'violet', 'lavender', 'floral']",All Season,Night
Vasco da Gama Jequitifor men,Jequiti,for men,"Apple, Bergamot and Lavender","Geranium, Sandalwood and Cashmeran","Oakmoss, Amber and Patchouli","['fresh spicy', 'woody', 'aromatic', 'mossy', 'earthy', 'warm spicy', 'rose', 'herbal', 'amber', 'powdery']",Fall,Any
Magali Jequitifor women,Jequiti,for women,"Watermelon, Peach and Mandarin Orange","Lotus, Freesia and Orchid","Musk, Sandalwood, Vanilla and Amber","['ozonic', 'aquatic', 'floral', 'powdery', 'fruity', 'musky', 'woody', 'citrus', 'sweet']",Summer,Night
Turma da Mônica Cebolinha Jequitifor men,Jequiti,for men,"Lemon, Watery Notes and Bergamot","Peach, Tagetes and Sandalwood","Musk, Oakmoss and Amber","['citrus', 'aquatic', 'aromatic', 'fresh', 'fresh spicy', 'fruity', 'powdery', 'sweet']",Summer,Any
Turma da Mônica Mônica Jequitifor women,Jequiti,for women,"Apple Blossom, Strawberry and Bergamot","Raspberry, Lily-of-the-Valley and Freesia","Cotton Candy, Musk, Amber and Vanilla","['sweet', 'fruity', 'floral', 'caramel', 'powdery']",Winter,Night
Uzon Jequitifor men,Jequiti,for men,"Bergamot, Lemon and Bamboo","Black Pepper, Ginger and Clary Sage",Amber and Vetiver,"['citrus', 'fresh spicy', 'aromatic', 'amber', 'warm spicy', 'woody']",All Season,Day
Uzon 4x4 Jequitifor men,Jequiti,for men,"Bergamot, Mandarin Orange and Lavender","Black Pepper, Cedar, Geranium and Cloves","Oakmoss, Patchouli, Amber and Sandalowood","['fresh spicy', 'woody', 'citrus', 'warm spicy', 'aromatic', 'earthy', 'mossy', 'powdery', 'amber', 'patchouli']",Fall,Day
